epoch,mean_intra,std_intra,mean_inter,std_inter,separation_ratio
1,0.6232,0.2234,1.3979,0.2079,2.2433
5,0.6169,0.2297,1.4094,0.2002,2.2845
10,0.6174,0.2250,1.3984,0.2019,2.2649
15,0.6155,0.2219,1.4046,0.2027,2.2823
20,0.6185,0.2193,1.3912,0.2149,2.2494
25,0.6302,0.2223,1.4008,0.1904,2.2227
30,0.6176,0.2239,1.4005,0.1978,2.2675
35,0.6195,0.2218,1.4009,0.2031,2.2612
40,0.6215,0.2179,1.4012,0.2001,2.2547
45,0.6169,0.2254,1.3975,0.2037,2.2655
50,0.6329,0.2218,1.4008,0.1923,2.2133
55,0.6211,0.2207,1.4018,0.1951,2.2571
60,0.6242,0.2204,1.4040,0.1932,2.2492
65,0.6246,0.2144,1.3973,0.1992,2.2372
70,0.6257,0.2186,1.4000,0.1966,2.2374
75,0.6239,0.2168,1.4007,0.1993,2.2453
80,0.6244,0.2193,1.4017,0.1896,2.2449
85,0.6276,0.2188,1.4040,0.1908,2.2372
90,0.6287,0.2176,1.4025,0.1921,2.2307
95,0.6324,0.2217,1.4043,0.1873,2.2207
100,0.6269,0.2185,1.4013,0.1942,2.2353
105,0.6331,0.2183,1.4050,0.1924,2.2192
110,0.6249,0.2154,1.4022,0.1952,2.2440
115,0.6249,0.2160,1.4035,0.1905,2.2458
120,0.6291,0.2171,1.4048,0.1909,2.2329
125,0.6292,0.2162,1.4053,0.1912,2.2334
130,0.6274,0.2157,1.4030,0.1940,2.2360
135,0.6307,0.2191,1.4056,0.1871,2.2287
140,0.6263,0.2151,1.4040,0.1919,2.2417
145,0.6312,0.2194,1.4044,0.1884,2.2249
150,0.6278,0.2176,1.4031,0.1921,2.2350
155,0.6324,0.2184,1.4058,0.1888,2.2230
160,0.6269,0.2165,1.4044,0.1905,2.2403
165,0.6296,0.2168,1.4046,0.1901,2.2307
170,0.6305,0.2164,1.4051,0.1892,2.2286
175,0.6304,0.2176,1.4053,0.1891,2.2293
180,0.6266,0.2159,1.4033,0.1923,2.2396
185,0.6292,0.2177,1.4047,0.1900,2.2324
190,0.6319,0.2192,1.4055,0.1875,2.2241
195,0.6299,0.2168,1.4047,0.1895,2.2300
200,0.6292,0.2163,1.4041,0.1897,2.2316
