epoch,loss_mean,loss_std,embed_dist,elapsed_s
1,0.249985,0.042367,1.3842,12.2
2,0.232107,0.020274,1.3938,11.5
3,0.228347,0.018621,1.3944,11.1
4,0.227018,0.019996,1.3950,11.4
5,0.224355,0.017630,1.3952,10.7
6,0.221760,0.019316,1.3952,11.5
7,0.223457,0.018672,1.3952,11.0
8,0.222682,0.018349,1.3956,11.6
9,0.225036,0.019343,1.3954,11.0
10,0.220966,0.020155,1.3957,11.0
11,0.222826,0.021616,1.3957,11.4
12,0.220930,0.017504,1.3960,11.2
13,0.220349,0.017809,1.3963,11.5
14,0.218691,0.018384,1.3960,10.9
15,0.220995,0.020140,1.3960,11.1
16,0.222424,0.018512,1.3959,11.2
17,0.219570,0.020471,1.3962,11.1
18,0.217423,0.018401,1.3963,12.2
19,0.219995,0.018119,1.3962,12.6
20,0.231005,0.025519,1.3955,13.4
21,0.223460,0.020012,1.3962,12.6
22,0.220866,0.020139,1.3964,12.0
23,0.220583,0.018440,1.3963,12.0
24,0.218721,0.019337,1.3964,12.4
25,0.222021,0.021968,1.3965,12.4
26,0.217753,0.020369,1.3971,12.6
27,0.217909,0.018964,1.3970,11.9
28,0.217124,0.016678,1.3971,12.2
29,0.218811,0.019225,1.3969,11.9
30,0.216442,0.018965,1.3968,12.1
31,0.215820,0.020083,1.3969,12.4
32,0.218816,0.019502,1.3972,12.3
33,0.217411,0.019815,1.3971,12.9
34,0.214924,0.019768,1.3967,12.0
35,0.219487,0.018116,1.3971,12.0
36,0.220602,0.020124,1.3969,12.6
37,0.221464,0.018186,1.3972,11.8
38,0.216667,0.020026,1.3971,11.9
39,0.216531,0.017304,1.3970,12.0
40,0.217640,0.018513,1.3972,12.0
41,0.216280,0.019264,1.3973,12.3
42,0.217107,0.019290,1.3972,12.6
43,0.215721,0.019659,1.3973,12.0
44,0.217542,0.022834,1.3972,11.8
45,0.215501,0.019943,1.3973,12.1
46,0.212779,0.018549,1.3980,12.4
47,0.211741,0.018703,1.3981,11.7
48,0.214158,0.019334,1.3981,11.8
49,0.211385,0.019952,1.3983,11.6
50,0.212342,0.018674,1.3983,12.3
51,0.212376,0.018868,1.3981,12.3
52,0.214143,0.021097,1.3981,12.8
53,0.210030,0.017866,1.3981,12.4
54,0.209780,0.018225,1.3981,12.4
55,0.213431,0.018052,1.3982,12.3
56,0.210894,0.018322,1.3983,12.3
57,0.210827,0.019007,1.3982,12.1
58,0.212943,0.018188,1.3981,12.1
59,0.209582,0.019893,1.3984,12.5
60,0.210886,0.019308,1.3984,11.9
61,0.212127,0.019778,1.3982,12.5
62,0.212698,0.019227,1.3982,12.3
63,0.208798,0.020046,1.3985,12.1
64,0.211643,0.018665,1.3983,12.4
65,0.210566,0.017926,1.3982,12.2
66,0.210372,0.017880,1.3983,12.6
67,0.210569,0.018420,1.3983,12.1
68,0.209099,0.018321,1.3983,12.6
69,0.214012,0.018917,1.3982,12.2
70,0.210849,0.017840,1.3983,12.4
71,0.211399,0.017580,1.3983,12.2
72,0.211171,0.018143,1.3985,12.3
73,0.212060,0.018738,1.3984,12.1
74,0.208727,0.019423,1.3984,12.6
75,0.208697,0.018688,1.3984,12.9
76,0.208035,0.019464,1.3983,11.7
77,0.209723,0.017587,1.3984,11.6
78,0.209341,0.018176,1.3984,11.1
79,0.210147,0.020711,1.3983,11.7
80,0.210851,0.019667,1.3985,11.2
81,0.211928,0.022244,1.3984,11.8
82,0.213017,0.018341,1.3985,11.4
83,0.209563,0.017435,1.3985,11.8
84,0.210100,0.019845,1.3986,11.8
85,0.208501,0.017881,1.3984,11.7
86,0.209076,0.019829,1.3984,11.9
87,0.210507,0.018609,1.3986,11.7
88,0.207952,0.018348,1.3988,11.5
89,0.209251,0.019051,1.3989,11.4
