epoch,loss_mean,loss_std,embed_dist,elapsed_s
1,0.656872,0.198912,1.9973,6.2
2,0.374928,0.128205,2.7479,3.4
3,0.268128,0.037967,3.0839,3.1
4,0.255779,0.037219,3.0878,2.9
5,0.237792,0.038217,3.1467,3.0
6,0.228978,0.036369,3.1989,3.2
7,0.225530,0.031756,3.2118,3.1
8,0.221186,0.034412,3.2283,3.1
9,0.215145,0.033092,3.2648,3.2
10,0.210931,0.031106,3.2717,3.2
11,0.211173,0.037001,3.2950,3.1
12,0.212043,0.034807,3.2792,3.1
13,0.202793,0.027334,3.3479,3.1
14,0.205696,0.034404,3.3032,3.3
15,0.201614,0.033947,3.3523,3.3
16,0.198662,0.033736,3.3377,3.1
17,0.196563,0.034949,3.3008,2.5
18,0.183580,0.028243,3.3498,3.0
19,0.178662,0.031876,3.3748,3.0
20,0.175908,0.030581,3.3917,3.0
21,0.169362,0.029741,3.3899,3.1
22,0.169067,0.030507,3.4211,2.9
23,0.163473,0.028500,3.4608,3.1
24,0.159984,0.028339,3.4738,2.9
25,0.163215,0.029914,3.4294,3.0
26,0.159637,0.028783,3.4111,2.8
27,0.151200,0.030480,3.4955,2.9
28,0.153257,0.024552,3.4699,3.2
29,0.152680,0.028881,3.4917,3.1
30,0.148468,0.026780,3.5109,3.1
31,0.145865,0.027778,3.4592,3.0
32,0.149549,0.030015,3.5285,3.0
33,0.144041,0.029276,3.5098,3.0
34,0.147279,0.029136,3.4582,3.0
35,0.148368,0.028264,3.4819,3.0
36,0.141684,0.027842,3.5329,2.9
37,0.147959,0.026708,3.5185,3.8
38,0.141263,0.028548,3.5156,4.1
39,0.141372,0.022412,3.5454,3.8
40,0.141356,0.028163,3.5160,3.6
41,0.140202,0.027173,3.5134,3.5
42,0.142727,0.031340,3.5425,3.5
43,0.138143,0.027600,3.5383,3.7
44,0.138869,0.027343,3.5269,3.9
45,0.140041,0.027584,3.5365,3.7
46,0.135559,0.024212,3.5178,4.2
47,0.134295,0.025651,3.5456,4.1
48,0.135299,0.028662,3.5320,3.9
49,0.133885,0.026528,3.4996,4.2
50,0.134040,0.027098,3.5196,3.7
