epoch,loss_mean,loss_std,embed_dist,elapsed_s
1,0.480250,0.190443,2.4372,9.1
2,0.331131,0.067181,2.8377,8.2
3,0.267651,0.041404,3.0440,8.0
4,0.256289,0.037706,3.0699,8.1
5,0.241789,0.035826,3.0948,7.8
6,0.234927,0.031797,3.1439,9.0
7,0.228327,0.037714,3.1713,9.5
8,0.231114,0.040094,3.1731,7.8
9,0.218087,0.031557,3.1858,7.5
10,0.208331,0.031949,3.2447,7.7
11,0.202318,0.033762,3.2593,7.7
12,0.195188,0.032565,3.2792,7.6
13,0.186144,0.029114,3.3246,7.3
14,0.187462,0.030548,3.3117,7.5
15,0.179972,0.032830,3.3610,7.5
16,0.172192,0.031492,3.4138,7.3
17,0.166772,0.029679,3.3640,7.6
18,0.161228,0.025530,3.4299,8.4
19,0.157903,0.027865,3.4259,8.1
20,0.155390,0.027418,3.4275,8.7
21,0.152603,0.031525,3.4167,7.9
22,0.146594,0.027280,3.4406,8.2
23,0.140705,0.025743,3.5102,8.4
24,0.136577,0.026268,3.5496,8.5
25,0.137199,0.024793,3.5069,8.1
26,0.134740,0.028313,3.5024,8.2
27,0.129322,0.029520,3.5658,8.1
28,0.132759,0.024392,3.4819,8.4
29,0.129318,0.026130,3.5570,8.1
30,0.126000,0.027004,3.5457,8.8
31,0.123740,0.027457,3.5564,8.3
32,0.125583,0.027096,3.5723,8.4
33,0.121592,0.025140,3.5543,8.9
34,0.124812,0.027211,3.5633,8.5
35,0.127239,0.025781,3.5331,8.3
36,0.120834,0.027061,3.5553,8.0
37,0.123507,0.021981,3.5867,8.2
38,0.121244,0.024703,3.5658,8.4
39,0.119223,0.023329,3.6203,8.5
40,0.119226,0.024172,3.5541,9.2
41,0.121063,0.027126,3.5684,8.5
42,0.118600,0.024903,3.5776,8.4
43,0.118100,0.025472,3.5755,8.2
44,0.118812,0.026193,3.6084,8.2
45,0.117408,0.027556,3.5903,8.4
46,0.116354,0.024917,3.5763,8.3
47,0.115520,0.023389,3.5939,8.2
48,0.120487,0.025679,3.5593,8.5
49,0.116296,0.026555,3.5511,8.7
50,0.117141,0.022145,3.5779,8.5
