epoch,mean_intra,std_intra,mean_inter,std_inter,separation_ratio
1,0.6006,0.2364,1.3781,0.2431,2.2943
5,0.6216,0.2348,1.3977,0.2201,2.2485
10,0.6154,0.2347,1.3939,0.2141,2.2652
15,0.6056,0.2325,1.3860,0.2205,2.2885
20,0.6136,0.2336,1.3992,0.2109,2.2801
25,0.6159,0.2311,1.3933,0.2100,2.2623
30,0.6084,0.2279,1.3920,0.2123,2.2880
35,0.6151,0.2270,1.3983,0.2093,2.2734
40,0.6173,0.2213,1.4000,0.2027,2.2681
45,0.6112,0.2281,1.3985,0.2053,2.2882
50,0.6169,0.2225,1.3936,0.2070,2.2591
55,0.6179,0.2201,1.3880,0.1985,2.2465
60,0.6178,0.2317,1.3923,0.2074,2.2536
65,0.6387,0.2190,1.3991,0.1949,2.1906
70,0.6323,0.2288,1.3989,0.1887,2.2122
75,0.6238,0.2217,1.3971,0.1995,2.2398
80,0.6206,0.2284,1.4015,0.1975,2.2583
85,0.6332,0.2263,1.4031,0.1881,2.2160
90,0.6365,0.2228,1.3984,0.1956,2.1969
95,0.6299,0.2193,1.3969,0.2004,2.2178
100,0.6270,0.2279,1.3925,0.1993,2.2208
105,0.6275,0.2210,1.4037,0.1968,2.2368
110,0.6251,0.2215,1.4002,0.1985,2.2402
115,0.6156,0.2273,1.3977,0.2034,2.2703
120,0.6290,0.2259,1.4007,0.1997,2.2268
125,0.6290,0.2144,1.4012,0.1984,2.2277
130,0.6321,0.2210,1.4014,0.2017,2.2171
135,0.6280,0.2257,1.4054,0.1903,2.2377
140,0.6282,0.2184,1.3936,0.1958,2.2183
145,0.6350,0.2256,1.4023,0.1926,2.2081
150,0.6416,0.2235,1.4015,0.1874,2.1842
155,0.6313,0.2176,1.3995,0.1957,2.2167
160,0.6349,0.2193,1.4049,0.1909,2.2129
165,0.6328,0.2204,1.4037,0.1950,2.2181
170,0.6306,0.2253,1.4027,0.1930,2.2245
175,0.6277,0.2177,1.3998,0.2005,2.2300
180,0.6349,0.2247,1.4047,0.1942,2.2127
185,0.6319,0.2256,1.4005,0.1905,2.2163
190,0.6385,0.2247,1.4072,0.1918,2.2041
195,0.6276,0.2235,1.3971,0.1924,2.2263
200,0.6265,0.2179,1.3987,0.1977,2.2325
