epoch,loss_mean,loss_std,embed_dist,elapsed_s
1,0.283186,0.042882,1.3811,18.4
2,0.263568,0.021018,1.3894,17.0
3,0.255597,0.019163,1.3912,15.9
4,0.254234,0.021431,1.3916,16.2
5,0.250697,0.019249,1.3921,16.2
6,0.247248,0.020826,1.3924,15.8
7,0.246940,0.019925,1.3926,16.2
8,0.245737,0.019955,1.3933,15.9
9,0.245667,0.020882,1.3931,15.9
10,0.241131,0.021957,1.3934,16.1
11,0.241876,0.021744,1.3937,16.2
12,0.241386,0.018923,1.3938,15.7
13,0.240636,0.019244,1.3941,16.2
14,0.238620,0.020314,1.3937,15.8
15,0.239362,0.020798,1.3937,16.1
16,0.240046,0.020113,1.3938,16.4
17,0.240084,0.019815,1.3942,15.9
18,0.234627,0.019316,1.3944,16.4
19,0.237505,0.018725,1.3945,16.1
20,0.236293,0.020673,1.3945,17.4
21,0.236035,0.020055,1.3946,16.3
22,0.234630,0.021938,1.3946,15.8
23,0.234273,0.019177,1.3947,17.8
24,0.233186,0.020568,1.3948,16.5
25,0.238299,0.023042,1.3948,17.0
26,0.233854,0.021635,1.3951,17.3
27,0.233622,0.020062,1.3951,17.3
28,0.232420,0.017282,1.3952,17.3
29,0.235631,0.020589,1.3951,16.9
30,0.237995,0.020458,1.3947,17.0
31,0.231515,0.021781,1.3950,17.4
32,0.233750,0.020171,1.3954,19.7
33,0.231927,0.020883,1.3952,18.7
34,0.229088,0.020455,1.3950,19.8
35,0.234150,0.018869,1.3953,21.3
36,0.229364,0.018611,1.3953,25.3
37,0.235177,0.018787,1.3955,29.2
38,0.230625,0.019702,1.3954,26.0
39,0.233208,0.018513,1.3952,25.4
40,0.230847,0.019508,1.3953,25.1
41,0.230512,0.019819,1.3955,37.4
42,0.230567,0.019882,1.3955,27.3
43,0.229469,0.019881,1.3955,30.1
44,0.229282,0.022772,1.3957,20.6
45,0.228195,0.020746,1.3955,24.4
46,0.231533,0.020965,1.3957,18.1
47,0.228499,0.020485,1.3956,19.0
48,0.232425,0.022430,1.3959,32.5
49,0.232543,0.020880,1.3957,21.3
50,0.228444,0.019330,1.3961,29.6
51,0.227461,0.019997,1.3962,18.9
52,0.230577,0.022465,1.3958,18.3
53,0.226591,0.018700,1.3959,17.7
54,0.225723,0.017985,1.3960,19.3
55,0.229534,0.019090,1.3960,19.6
56,0.226375,0.018662,1.3963,17.7
57,0.227126,0.020118,1.3962,21.7
58,0.227810,0.018772,1.3960,18.6
59,0.228617,0.023350,1.3961,27.6
60,0.231505,0.021384,1.3962,47.8
61,0.227379,0.020683,1.3962,22.2
62,0.229020,0.020077,1.3962,22.3
63,0.223245,0.020024,1.3966,20.7
64,0.226078,0.020207,1.3965,34.2
65,0.225413,0.019503,1.3962,20.9
66,0.224798,0.019285,1.3966,22.7
67,0.224656,0.019512,1.3964,20.5
68,0.223655,0.018887,1.3964,25.5
69,0.228159,0.019906,1.3964,21.9
70,0.225000,0.018325,1.3966,20.6
71,0.225483,0.018578,1.3967,18.6
72,0.224992,0.019277,1.3968,15.8
73,0.226480,0.019690,1.3966,16.1
74,0.222479,0.021198,1.3967,16.1
75,0.223086,0.019386,1.3968,16.5
76,0.222490,0.020325,1.3965,16.5
77,0.223490,0.018586,1.3965,16.0
78,0.222879,0.019559,1.3967,16.3
79,0.223546,0.020933,1.3966,16.2
80,0.224102,0.020158,1.3969,16.2
81,0.225014,0.022881,1.3969,16.5
82,0.225767,0.019028,1.3969,16.2
83,0.222018,0.017921,1.3971,16.1
84,0.235091,0.023391,1.3962,16.2
85,0.225439,0.019496,1.3966,20.8
86,0.222104,0.020602,1.3968,20.7
87,0.223704,0.019148,1.3970,20.4
88,0.221303,0.018887,1.3971,20.6
89,0.227042,0.020961,1.3970,22.7
90,0.222647,0.021210,1.3969,20.4
91,0.221235,0.018703,1.3972,20.0
92,0.220495,0.018879,1.3973,19.6
93,0.222811,0.017708,1.3971,22.0
94,0.221666,0.017142,1.3972,20.9
95,0.224133,0.018073,1.3972,21.5
96,0.226140,0.020007,1.3971,20.6
97,0.219487,0.017711,1.3971,20.8
98,0.220688,0.017764,1.3975,21.2
99,0.222525,0.018783,1.3970,22.9
100,0.224072,0.017965,1.3972,20.3
101,0.224555,0.018768,1.3973,20.3
102,0.221427,0.019257,1.3973,21.8
103,0.220208,0.018222,1.3973,20.7
104,0.223735,0.021002,1.3972,21.9
105,0.219402,0.017879,1.3974,20.0
106,0.221186,0.018926,1.3973,20.2
107,0.220646,0.019773,1.3975,20.6
108,0.221585,0.017974,1.3973,19.6
109,0.221076,0.018528,1.3975,19.7
110,0.217894,0.019060,1.3975,21.1
111,0.220802,0.018817,1.3976,27.2
112,0.219154,0.018038,1.3976,23.5
113,0.221699,0.019960,1.3975,28.6
114,0.219032,0.016797,1.3974,19.3
115,0.217707,0.020665,1.3975,16.3
116,0.220224,0.018849,1.3975,17.3
117,0.218551,0.019868,1.3973,18.0
118,0.216493,0.017825,1.3975,17.8
119,0.221151,0.020460,1.3975,17.3
120,0.217461,0.017738,1.3974,17.3
121,0.220117,0.018818,1.3975,17.2
122,0.221239,0.017008,1.3973,17.5
123,0.220381,0.018915,1.3976,17.4
124,0.217737,0.018844,1.3975,17.7
125,0.219440,0.018300,1.3977,17.2
126,0.215642,0.018404,1.3979,15.2
127,0.218927,0.017919,1.3978,15.2
128,0.218297,0.018968,1.3974,15.4
129,0.215161,0.017874,1.3978,15.1
130,0.219652,0.020208,1.3977,15.2
131,0.222298,0.019908,1.3976,15.1
132,0.218858,0.019166,1.3977,16.6
133,0.217016,0.018739,1.3978,16.3
134,0.221823,0.019627,1.3978,16.8
135,0.217020,0.018403,1.3978,16.2
136,0.219188,0.018654,1.3982,16.6
137,0.217580,0.018818,1.3978,16.6
138,0.216430,0.019528,1.3976,16.5
139,0.216244,0.018933,1.3979,16.4
140,0.225959,0.022420,1.3972,16.3
141,0.217611,0.019175,1.3977,16.4
142,0.217261,0.019159,1.3979,16.3
143,0.218099,0.017723,1.3976,16.5
144,0.217512,0.021010,1.3980,16.6
145,0.214646,0.019197,1.3980,16.9
146,0.214753,0.019098,1.3980,16.9
147,0.215276,0.020121,1.3978,16.3
148,0.219629,0.017265,1.3979,16.8
149,0.215037,0.019704,1.3978,16.5
150,0.215911,0.021117,1.3981,16.8
151,0.212971,0.019617,1.3981,17.1
152,0.214867,0.018924,1.3981,16.8
153,0.218096,0.019432,1.3982,16.6
154,0.213963,0.019589,1.3980,16.7
155,0.212432,0.020457,1.3981,16.6
156,0.217523,0.019171,1.3979,16.7
157,0.216674,0.019520,1.3980,17.0
158,0.216906,0.018311,1.3983,16.3
159,0.215150,0.019942,1.3982,16.7
160,0.219710,0.019403,1.3978,16.6
161,0.217472,0.018475,1.3980,16.9
162,0.215837,0.021032,1.3981,16.4
163,0.215466,0.019810,1.3980,16.7
164,0.215837,0.019501,1.3983,16.3
165,0.214888,0.019647,1.3982,16.8
166,0.214832,0.018214,1.3983,16.6
167,0.215203,0.019952,1.3982,16.5
168,0.215775,0.019474,1.3982,16.5
169,0.215381,0.020687,1.3981,16.9
170,0.214465,0.018853,1.3985,16.5
171,0.217318,0.019519,1.3981,16.8
172,0.213781,0.017004,1.3981,16.3
173,0.212240,0.018453,1.3982,17.1
174,0.215784,0.019047,1.3980,16.5
175,0.217921,0.018390,1.3982,16.3
176,0.215495,0.016638,1.3983,16.2
177,0.215220,0.019459,1.3982,17.3
178,0.214282,0.020352,1.3982,15.9
179,0.216140,0.019332,1.3981,17.0
180,0.219880,0.017035,1.3981,16.2
181,0.210609,0.019882,1.3985,17.0
182,0.214751,0.019735,1.3984,16.4
183,0.212082,0.017231,1.3983,16.6
184,0.215149,0.019973,1.3985,16.2
185,0.212108,0.018986,1.3982,16.8
186,0.215878,0.018528,1.3985,16.5
187,0.214242,0.019707,1.3985,16.3
188,0.214469,0.018458,1.3983,16.5
189,0.213287,0.018475,1.3985,16.4
190,0.213890,0.020186,1.3983,16.7
191,0.214240,0.017693,1.3984,17.0
192,0.214459,0.018451,1.3984,16.7
193,0.213056,0.019423,1.3986,16.5
194,0.212306,0.018180,1.3985,16.8
195,0.214748,0.018175,1.3986,16.6
196,0.213394,0.018971,1.3985,17.2
197,0.215495,0.019463,1.3983,16.3
198,0.217846,0.017531,1.3986,16.3
199,0.220102,0.023825,1.3984,16.5
200,0.217887,0.018908,1.3982,16.7
